1,Alexis Lafreniere,LW,Rimouski QMJHL
2,Lucas Raymond,RW,Frolunda SHL
3,Tim Stutzle,C,Adler Mannheim DEL
4,Quinton Byfield,C,Sudbury OHL
5,Jamie Drysdale,D,Erie OHL
6,Alexander Holtz,LW,DjurgaDens SHL
7,Cole Perfetti,LW,Saginaw OHL
8,Marco Rossi,C,Ottawa OHL
9,Jake Sanderson,D,NTDP U18
10,Yaroslav Askarov,G,SKA-Neva St. Petersburg VHL
11,Anton Lundell,C,HIFK Liiga
12,Rodion Amirov,LW,Salavat Yulaev Ufa KHL
13,Noel Gunler,RW,Lulea SHL
14,Jan Mysak,LW,Hamilton OHL
15,Jack Quinn,RW,Ottawa OHL
16,Dylan Holloway,C,Wisconsin NCAA
17,Connor Zary,C,Kamloops WHL
18,Seth Jarvis,RW,Portland WHL
19,Hendrix Lapierre,C,Chicoutimi QMJHL
20,Dawson Mercer,RW,Chicoutimi QMJHL
21,Mavrik Bourque,C,Shawinigan QMJHL
22,Justin Barron,D,Halifax QMJHL
23,Lukas Cormier,D,Charlottetown QMJHL
24,Kaiden Guhle,D,Prince Albert WHL
25,Braden Schneider,D,Brandon WHL
26,Joni Jurmo,D,Jokerit U20
27,William Wallinder,D,MODO J20
28,John-Jason Peterka,LW,Munchen DEL
29,Martin Chromiak,LW,Kingston OHL
30,Alexander Pashin,RW,Tolpar Ufa MHL
31,Vasily Ponomarev,C,Shawinigan QMJHL
32,Zion Nybeck,RW,HV71 J20
33,Emil Andrae,D,HV71 J20
34,Helge Grans,D,Malmo J20
35,Lukas Reichel,LW,Berlin DEL
36,Marat Khusnutdinov,C,SKA-1946 St. Petersburg MHL
37,Brendan Brisson,C,Chicago USHL
38,Thomas Bordeleau,C,NTDP U18
39,Jacob Perreault,RW,Sarnia OHL
40,Tyson Foerster,RW,Barrie OHL
41,Ryan O'Rourke,D,Sault Ste. Marie OHL
42,Jeremie Poirier,D,Saint John QMJHL
43,Kasper Simontaival,RW,Tappara Liiga
44,Roni Hirvonen,C,Assat Liiga
45,Theodor Niederbach,C,Frolunda J20
46,Anton Johannesson,D,HV71 J20
47,Shakir Mukhamadullin,D,Tolpar Ufa MHL
48,Jake Neighbours,LW,Edmonton WHL
49,Carter Savoie,LW,Sherwood Park AJHL
50,Ridly Greig,C,Brandon WHL
51,Jean-Luc Foudy,C,Windsor OHL
52,Sam Colangelo,RW,Chicago USHL
53,Luke Tuch,LW,NTDP U18
54,Daniil Gushchin,RW,Muskegon USHL
55,Veeti Miettinen,RW,Kiekko-Espoo U20
56,Topi Niemela,D,Karpat Liiga
57,Eemil Viro,D,TPS Liiga
58,Sean Farrell,RW,Chicago USHL
59,Ty Smilanic,LW,NTDP U18
60,Justin Sourdif,RW,Vancouver WHL
61,Pavel Novak,RW,Kelowna WHL
62,Ozzy Wiesblatt,C,Prince Albert WHL
63,Michael Benning,D,Sherwood Park AJHL
64,William Villeneuve,D,Saint John QMJHL
65,Jaromir Pytlik,C,Sault Ste. Marie OHL
66,Luke Evangelista,RW,London OHL
67,Tyler Kleven,D,NTDP U18
68,Brett Berard,LW,NTDP U18
69,Daniel Ljungman,C,Linkoping J20
70,Emil Heineman,LW,Leksands J20
71,Daniel Torgersson,RW,Frolunda J20
72,Roby Jarventie,RW,Ilves Liiga
73,Samuel Knazko,D,TPS U20
74,Dmitri Ovchinnikov,LW,Sibirskie Snaipery Novosibirsk MHL
75,Yan Kuznetsov,D,Connecticut NCAA
76,Brandon Coe,RW,North Bay OHL
77,Jack Finley,C,Spokane WHL
78,Tristen Robins,C,Saskatoon WHL
79,Connor McClennon,RW,Winnipeg WHL
80,Daemon Hunt,D,Moose Jaw WHL
81,Antonio Stranges,LW,London OHL
82,Evan Vierling,C,Barrie OHL
83,Tyler Tullio,C,Oshawa OHL
